suburb,nearest_suburbs
Regents Park,"'Northwood', 'Condell Park', 'St Helens Park', 'Revesby', 'Horsley Park'"
Lethbridge Park,"'Annangrove', 'Girraween', 'Carlingford', 'Northwood', 'Mount Druitt'"
Wakeley,"'Croydon', 'Hornsby', 'Yarrawarrah', 'Burwood', 'Wollstonecraft'"
Clovelly,"'Arncliffe', 'Luddenham', 'Little Bay', 'Potts Point', 'Allambie Heights'"
Dundas,"'Macquarie Fields', 'Northwood', 'Ponds, The', 'Enfield', 'Lalor Park'"
Forest Lodge,"'Greenacre', 'Lane Cove', 'Homebush', 'Harris Park', 'Bellevue Hill'"
Hurlstone Park,"'Warriewood', 'Telopea', 'Ryde', 'Sadleir', 'Hunters Hill'"
Monterey,"'Epping', 'Emerton', 'Cobbitty', 'Oakville', 'Glenfield'"
Prospect,"'Manly', 'Port Hacking', 'Northmead', 'Gordon', 'Turramurra'"
Barden Ridge,"'Camden', 'Malabar', 'Marayong', 'Beverly Hills', 'Oatley'"
Bidwill,"'Silverwater', 'Ashcroft', 'Macquarie Park', 'Beecroft', 'Wareemba'"
Darling Point,"'St Clair', 'Edgecliff', 'Rozelle', 'Prestons', 'Northmead'"
Hoxton Park,"'Miranda', 'Chiswick', 'Seven Hills', 'Milsons Point', 'Lewisham'"
Killarney Heights,"'Menai', 'Lalor Park', 'Milsons Point', 'Wattle Grove', 'Darlinghurst'"
Little Bay,"'Lewisham', 'Werrington', 'Glenhaven', 'Picnic Point', 'Darlington'"
Spring Farm,"'Meadowbank', 'Cammeray', 'Taren Point', 'Llandilo', 'Carlingford'"
Waverley,"'Sutherland', 'Crows Nest', 'Coogee', 'Berala', 'Marrickville'"
Westleigh,"'Rosebery', 'Lilyfield', 'Port Hacking', 'Maraylya', 'Kings Langley'"
Busby,"'Chester Hill', 'Matraville', 'Zetland', 'Girraween', 'Leumeah'"
Abbotsbury,"'Freshwater', 'Woronora', 'Quakers Hill', 'Northbridge', 'Beaconsfield'"
Breakfast Point,"'Kingswood', 'Greenacre', 'Burwood', 'Woodbine', 'Castle Hill'"
Loftus,"'Spring Farm', 'Blakehurst', 'Cranebrook', 'Turramurra', 'Clovelly'"
Silverwater,"'Lansvale', 'Eastern Creek', 'St Leonards', 'Heathcote', 'Wakeley'"
Woolloomooloo,"'Ermington', 'Port Hacking', 'Wentworthville', 'Illawong', 'Mount Pritchard'"
Werrington,"'Manly Vale', 'Ashfield', 'Minto', 'Brighton-le-Sands', 'Eastlakes'"
Constitution Hill,"'Seven Hills', 'Mona Vale', 'Ramsgate', 'Middleton Grange', 'Darling Point'"
Enmore,"'Thornleigh', 'Allambie Heights', 'Oakhurst', 'Kingswood', 'Arncliffe'"
Londonderry,"'Mona Vale', 'Bexley', 'Dulwich Hill', 'Wiley Park', 'Hebersham'"
Pagewood,"'Burwood', 'McMahons Point', 'Palm Beach', 'Mortlake', 'Regents Park'"
Rosehill,"'Bronte', 'Forestville', 'Alexandria', 'Emerton', 'Wahroonga'"
Tempe,"'Barden Ridge', 'Melrose Park', 'Newport', 'Cabramatta', 'Marrickville'"
Tregear,"'Cabramatta', 'Rosemeadow', 'Epping', 'Collaroy', 'Lurnea'"
Leppington,"'Stanmore', 'Pitt Town', 'Forest Lodge', 'Eastwood', 'Gladesville'"
Narellan,"'St Ives', 'Canterbury', 'Leppington', 'Rosemeadow', 'Croydon'"
Ashcroft,"'Mount Vernon', 'Castle Cove', 'Seven Hills', 'Killara', 'Mortlake'"
Ashbury,"'Bangor', 'Luddenham', 'Minchinbury', 'Normanhurst', 'Waverley'"
Asquith,"'West Ryde', 'Auburn', 'Carlton', 'Lidcombe', 'Enmore'"
Banksia,"'Harrington Park', 'Rockdale', 'Concord', 'Cammeray', 'Leichhardt'"
Birchgrove,"'St Clair', 'Middleton Grange', 'Bronte', 'Chiswick', 'Revesby'"
Blackett,"'Lurnea', 'Kearns', 'Naremburn', 'Glenhaven', 'Pendle Hill'"
Chifley,"'Longueville', 'Breakfast Point', 'St Leonards', 'Busby', 'Rydalmere'"
Hammondville,"'Ropes Crossing', 'Palm Beach', 'Bellevue Hill', 'Freshwater', 'Warwick Farm'"
Kareela,"'Narwee', 'Summer Hill', 'Allawah', 'Cranebrook', 'Spring Farm'"
Kings Park,"'Riverstone', 'Erskineville', 'Mount Pritchard', 'Fairfield', 'Ashbury'"
Miller,"'Bondi', 'Marsfield', 'Earlwood', 'Dolls Point', 'Ashfield'"
Parklea,"'Pymble', 'Lindfield', 'Granville', 'Rockdale', 'Holsworthy'"
Queenscliff,"'Pennant Hills', 'Lugarno', 'Marsden Park', 'Roseville', 'Leumeah'"
Riverview,"'Bradbury', 'Picnic Point', 'Hinchinbrook', 'Birchgrove', 'Kurrajong'"
Shalvey,"'Greenwich', 'Taren Point', 'Moorebank', 'Freshwater', 'Hoxton Park'"
Camden,"'Lugarno', 'Kirribilli', 'Westleigh', 'Elderslie', 'Oran Park'"
Prairiewood,"'Jamisontown', 'Loftus', 'Cobbitty', 'Cabramatta', 'Mount Pritchard'"
Birrong,"'Erskineville', 'Jannali', 'Camden', 'Willoughby', 'Carlingford'"
Brookvale,"'Mount Colah', 'Rouse Hill', 'Kings Park', 'Airds', 'Croydon'"
Darlington,"'Sylvania', 'Malabar', 'Rosebery', 'St Marys', 'Dolls Point'"
East Hills,"'Emu Plains', 'Homebush', 'Windsor', 'Illawong', 'Horsley Park'"
Galston,"'Eastlakes', 'Wetherill Park', 'Bondi', 'Merrylands', 'Narraweena'"
Kurrajong,"'Castlereagh', 'Kirribilli', 'Mount Colah', 'Beecroft', 'St Johns Park'"
Oxley Park,"'Bankstown', 'Newtown', 'Leichhardt', 'Darlinghurst', 'Beaconsfield'"
Sadleir,"'Thornleigh', 'Beverly Hills', 'Windsor', 'Breakfast Point', 'Seven Hills'"
Yowie Bay,"'Warrawee', 'Coogee', 'Matraville', 'Cammeray', 'Chiswick'"
Pitt Town,"'St Marys', 'Petersham', 'Mount Druitt', 'Ashcroft', 'Prairiewood'"
Terrey Hills,"'Belmore', 'Constitution Hill', 'Waverley', 'Abbotsbury', 'Erskineville'"
Warrawee,"'Mortdale', 'Paddington', 'Wilberforce', 'Lavender Bay', 'Oatlands'"
Wilberforce,"'Chatswood', 'Mount Druitt', 'Northbridge', 'Camperdown', 'Haberfield'"
Airds,"'Greenwich', 'Elderslie', 'Bankstown', 'Turramurra', 'Bardwell Park'"
Chiswick,"'Coogee', 'Pemulwuy', 'Glenwood', 'Camperdown', 'Woodpark'"
Davidson,"'Cammeray', 'Revesby', 'Newtown', 'Narrabeen', 'Chifley'"
Enfield,"'Daceyville', 'Enfield', 'St Ives', 'Canterbury', 'Yagoona'"
Queens Park,"'Lurnea', 'Rose Bay', 'Edgecliff', 'Roseville', 'Glebe'"
Wheeler Heights,"'Mount Annan', 'Taren Point', 'Willmot', 'Rodd Point', 'Granville'"
Dharruk,"'Terrey Hills', 'Meadowbank', 'Lurnea', 'Frenchs Forest', 'Bankstown'"
Yarrawarrah,"'Kyle Bay', 'Seaforth', 'Erskine Park', 'Kearns', 'Kurrajong'"
Castle Cove,"'Dharruk', 'Ambarvale', 'Yowie Bay', 'Cremorne', 'Claymore'"
Claymore,"'Bella Vista', 'Ashfield', 'Luddenham', 'Ingleburn', 'Lane Cove'"
Kearns,"'Kareela', 'Sefton', 'Wolli Creek', 'Mount Colah', 'Dural'"
Lansvale,"'Mortlake', 'Jannali', 'Castle Cove', 'Appin', 'Parklea'"
Woodbine,"'Pennant Hills', 'Concord', 'Panania', 'Mount Pritchard', 'Mortlake'"
Appin,"'Dulwich Hill', 'Dural', 'Harris Park', 'Constitution Hill', 'Hammondville'"
Bardwell Park,"'Arncliffe', 'Dural', 'Edmondson Park', 'Manly Vale', 'Darlinghurst'"
Bardwell Valley,"'Potts Point', 'Bass Hill', 'Alexandria', 'Warwick Farm', 'Eastern Creek'"
Bonnet Bay,"'Watsons Bay', 'Banksia', 'Harrington Park', 'Wolli Creek', 'Strathfield'"
Cheltenham,"'Palm Beach', 'Kurrajong', 'Mount Colah', 'Croydon', 'Terrey Hills'"
Curl Curl,"'Marrickville', 'Heathcote', 'Castlereagh', 'Hammondville', 'Kurnell'"
Kurnell,"'Clovelly', 'Bankstown', 'Tempe', 'Sans Souci', 'Holsworthy'"
Rossmore,"'Bangor', 'Riverwood', 'Castlereagh', 'Cammeray', 'Dural'"
Turrella,"'Cromer', 'Tamarama', 'Appin', 'Luddenham', 'Northwood'"
Willmot,"'Pagewood', 'Minchinbury', 'Dundas', 'Mosman', 'Wallacia'"
Edmondson Park,"'Canterbury', 'Bondi', 'Lavender Bay', 'Cranebrook', 'Denistone'"
Emerton,"'Eastern Creek', 'Kingsgrove', 'Chatswood', 'Hammondville', 'Roseville'"
Woronora,"'Wahroonga', 'Rouse Hill', 'Homebush', 'Rose Bay', 'Marayong'"
Cobbitty,"'Oran Park', 'Toongabbie', 'Sylvania', 'Bradbury', 'Rose Bay'"
Milsons Point,"'Dulwich Hill', 'St Andrews', 'Caringbah', 'Willoughby', 'Ramsgate'"
Longueville,"'Kirribilli', 'Werrington', 'Prestons', 'Pitt Town', 'Clemton Park'"
Cabarita,"'Birrong', 'Five Dock', 'Paddington', 'Ultimo', 'Potts Point'"
Colebee,"'Raby', 'Allambie Heights', 'Chester Hill', 'Riverstone', 'Picnic Point'"
Horsley Park,"'Randwick', 'Banksia', 'Sefton', 'Glenwood', 'Hurlstone Park'"
Luddenham,"'Maraylya', 'Longueville', 'Punchbowl', 'Crows Nest', 'Pitt Town'"
Mulgoa,"'Auburn', 'Holsworthy', 'Waitara', 'Mulgoa', 'Heathcote'"
Oakville,"'Campsie', 'Baulkham Hills', 'Waverley', 'Mount Lewis', 'Greenwich'"
Orchard Hills,"'Marsfield', 'Seaforth', 'Hebersham', 'Normanhurst', 'Epping'"
Windsor,"'Merrylands', 'Tamarama', 'Lalor Park', 'Granville', 'Bass Hill'"
Clontarf,"'East Hills', 'Ambarvale', 'Bonnet Bay', 'Quakers Hill', 'Heathcote'"
Taren Point,"'Kurnell', 'Breakfast Point', 'Prospect', 'Chippendale', 'Lethbridge Park'"
Clemton Park,"'Belrose', 'Sadleir', 'Liverpool', 'Marrickville', 'Holroyd'"
Llandilo,"'Cremorne', 'Penshurst', 'Ruse', 'Kurrajong', 'North Rocks'"
Melrose Park,"'Point Piper', 'Mount Druitt', 'Rushcutters Bay', 'Yowie Bay', 'Balmain'"
Palm Beach,"'Jamisontown', 'Neutral Bay', 'Emerton', 'Kenthurst', 'Beaconsfield'"
Tamarama,"'Castlereagh', 'Sans Souci', 'Woollahra', 'Arncliffe', 'Ambarvale'"
Dolls Point,"'Darling Point', 'Edmondson Park', 'Taren Point', 'Kingsgrove', 'Toongabbie'"
Wallacia,"'Avalon Beach', 'St Helens Park', 'Holsworthy', 'Coogee', 'Allambie Heights'"
Yennora,"'Hurstville', 'Hillsdale', 'Botany', 'Cabarita', 'Warrawee'"
Wareemba,"'Kellyville', 'Coogee', 'Prestons', 'Pitt Town', 'Minchinbury'"
Woodpark,"'St Ives', 'Chippendale', 'Harrington Park', 'Chifley', 'Pagewood'"
Annangrove,"'Jamisontown', 'Woolloomooloo', 'Bidwill', 'Waverton', 'Riverwood'"
Lilli Pilli,"'Londonderry', 'Stanhope Gardens', 'Punchbowl', 'Kings Langley', 'Wheeler Heights'"
Maraylya,"'Minchinbury', 'Elderslie', 'Merrylands', 'Alexandria', 'Bexley'"
Middle Cove,"'McMahons Point', 'Botany', 'Naremburn', 'Lugarno', 'Yagoona'"
Millers Point,"'Sadleir', 'Loftus', 'Collaroy', 'Rouse Hill', 'Dulwich Hill'"
Point Piper,"'Ingleburn', 'Denistone', 'Birchgrove', 'Minto', 'Forest Lodge'"
Rodd Point,"'Kurrajong', 'Schofields', 'Birchgrove', 'Canterbury', 'Richmond'"
Holroyd,"'Toongabbie', 'Padstow', 'Kyle Bay', 'Willmot', 'Balmain'"
Sandringham,"'Burwood', 'Coogee', 'Bidwill', 'Warrawee', 'Lalor Park'"
Castlereagh,"'Camperdown', 'Erskineville', 'Blacktown', 'Glebe', 'Wiley Park'"
Daceyville,"'Dural', 'Glenhaven', 'Burwood', 'Fairlight', 'Palm Beach'"
Mount Lewis,"'Dolls Point', 'Hoxton Park', 'Double Bay', 'Chippendale', 'Wattle Grove'"
Mount Vernon,"'Plumpton', 'Constitution Hill', 'Dolls Point', 'Kingsgrove', 'Ropes Crossing'"
Sydenham,"'Plumpton', 'Little Bay', 'Ramsgate', 'Longueville', 'St Johns Park'"
Ramsgate,"'Mortdale', 'Castlereagh', 'Woolooware', 'Camden', 'Whalan'"
Kyle Bay,"'Edmondson Park', 'Queenscliff', 'Penrith', 'Beecroft', 'Schofields'"
Mortlake,"Dundas', 'Allambie Heights', 'Vaucluse', 'Padstow', 'Wentworth Point'"
Port Hacking,"'Condell Park', 'Rushcutters Bay', 'Sutherland', 'Marsden Park', 'Seven Hills'"
Beaconsfield,"'Jamisontown', 'Berowra', 'Oyster Bay', 'Wentworthville', 'Randwick'"
Eastern Creek,"'Putney', 'Holroyd', 'Pendle Hill', 'Lakemba', 'Turrella'"
Kyeemagh,"'Pitt Town', 'Merrylands', 'Parklea', 'Normanhurst', 'Erskine Park'"
Northwood,"Kirrawee', 'Concord', 'Hoxton Park', 'St Marys', 'Kings Park'"
Watsons Bay,"'Ramsgate', 'Oran Park', 'Rosemeadow', 'Maroubra', 'Mount Annan'"
Lavender Bay,"'Westleigh', 'Guildford', 'Hillsdale', 'Zetland', 'Silverwater'"
Bexley North,"'Davidson', 'Hammondville', 'Leichhardt', 'Kyle Bay', 'Darlington'"
Sydney,"Davidson', 'Kirrawee', 'Vaucluse', 'Padstow', 'Wentworth Point'"
